Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
Who owns the land under a navigable river?,Owners of properties that abut the river,No one,The state,"The municipality, if the area is incorporated",3,PREP-AL-2.17,"If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge as opposed to the midpoint of the waterway. The state owns the land beneath the water"
"If a property has riparian rights, the owner has the right to",pollute the water for a legitimate business purpose,build a dam,require downstream property owners to pay a fee for use of the water,use the water in a way that does not infringe on another's riparian rights,4,PREP-AL-2.18,One's riparian rights to use flowing water are subject to the conditions that: •the usage is reasonable and does not infringe on the riparian rights of other owners downstream  •the usage does not pollute the water  •the usage does not impede or alter the course of the water flow
"If a property abuts a navigable river, where is the boundary of the property?",At the water's edge,At the high water mark,At the midpoint of the river,At the flood marker,1,PREP-AL-2.19,"If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge"
"What is a ""fixture?""",Any item of personal property located within the boundaries of a parcel of real estate,An item of personal property that has been converted to real property,An item of real property temporarily placed on land for the purpose of conducting a business,An item of personal property that has been left in one location for a period of one year,2,PREP-AL-2.20,"A personal property item that has been converted to real property by attachment to real estate is called a fixture. Typical examples are chandeliers, toilets, water pumps, septic tanks, and window shutters"
"Even though it is attached to a structure, an item may be considered personal property rather than real property if",the owner originally intended to remove it after a period of time,it can be removed without altering the appearance of the structure,it is unnecessary to the physical integrity of the structure,the owner installed it at some time after acquiring the real property,1,PREP-AL-2.21,"One's original intention can override the test of movability in determining whether an item is a fixture or not. If someone attached an item to real property, yet intended to remove it after a period of time, the article may be deemed personal property"
The level of government that is the primary regulator of the real estate business is,the county,the state,the court system,the U.S. Congress,2,PREP-AL-2.22,State governments are the primary regulatory entities of the real estate business
"Two people own a house, each having an undivided equal interest.  Which of the following best describes what they own?",Each owns fifty percent of the physical house and the land it rests on,Each owns one hundred percent of the physical house and the land it rests on,"Each owns fifty percent of the estate represented by the real property, but no physical portion of the real property",Each owns one hundred percent of the estate represented by the real property and fifty percent of the physical house and the land it rests on,3,PREP-AL-3.1,"An undivided interest is an owner's interest in a property in which two or more parties share ownership. The terms ""undivided"" and ""indivisible"" signify that the owner's interest is in a fractional part of the entire estate, not in a physical portion of the real property itself. If two co-owners have an undivided equal interest, one owner may not lay claim to the northern half of the property for his or her exclusive use"
An interest in real estate that includes the right to possess is considered,an estate in land,a freehold estate,a fee simple estate,an encumbrance,1,PREP-AL-3.2,"Interests are principally distinguished by whether they include possession. If the interest-holder enjoys the right of possession, the party is considered to have an estate in land, or, familiarly an estate"
An interest in real estate that does not include the right to possess is considered,a leasehold interest,a fee simple estate,an encumbrance,a tenancy,3,PREP-AL-3.3,"Interests are principally distinguished by whether they include possession. If a private interest-holder does not have the right to possess, the interest is an encumbrance"
The right to zone land and the right to acquire ownership of land by eminent domain are both examples of,a public interest,a possessory interest,an encumbrance,an estate in law,1,PREP-AL-3.4,"Interests are principally distinguished by whether they include possession. If the interest-holder is not private, such as a government entity, and does not have the right to possess, the interest is some form of public interest"
"If the duration of an owner's rights in an estate cannot be determined, the owner possesses",an indeterminate legal estate,a leased fee simple estate,a freehold estate,a leasehold estate,3,PREP-AL-3.5,"Freehold estates are ownership estates, and their duration cannot be determined; that is to say that the ownership rights may endure for a lifetime, for less than a lifetime, or for generations beyond the owner's lifetime"
The distinguishing feature of a leasehold estate is,ownership of an interest by a tenant,temporary ownership of the full bundle of rights in a property,unlimited ownership of one right in the bundle of rights in a property,duration limited by a lease term,4,PREP-AL-3.6,"A leasehold estate is distinguished by its specific duration, as represented by the lease term. Further, leasehold tenants only enjoy limited property rights: use; temporary possession, and limited exclusion"
Which of the following is a freehold tenant?,The owner of a freehold estate,The lessee in a leased property,The lessee of a freehold estate,Any owner of an estate in land,1,PREP-AL-3.7,The owner of the freehold estate is the freehold tenant
In what kind of estate does ownership revert to the grantor of the estate if usage fails to conform to a stated condition in the grant?,Fee simple absolute,Life estate with reversion,Life estate with condition subsequent,Fee simple defeasible,4,PREP-AL-3.8,"The defeasible fee estate is perpetual, provided the usage conforms to stated conditions"
"Bob grants his sister Mary an estate for as long as she lives, but her heirs cannot inherit the estate.  What kind of estate is it?",An estate pur autre vie,An estate for years,An ordinary life estate,A legal life estate,3,PREP-AL-3.9,An ordinary life estate ends with the death of the life estate owner and may pass back to the original owners or their heirs (reversion) or to a named third party (remainder)
"Homestead, dower and curtesy, and elective share are examples of",a conventional life estate,a legal life estate,an estate created by an owner's agreement,a fee simple absolute,2,PREP-AL-3.10,"The major forms of legal life estate are the homestead, dower and curtesy, and elective share"
"To convey clear title in a dower and curtesy state,",both spouses must release their interest to the other spouse,both spouses must sign the conveyance,"there must be two separate conveyances, each signed by one spouse",the head of household must sign the conveyance,2,PREP-AL-3.11,"To transfer property within dower and curtesy states, the husband (or wife) must obtain a release of the dower interest from the other spouse in order to convey clear title to another party. If both parties sign the conveyance, the dower right is automatically extinguished"
States that do not have dower and curtesy usually have either community property laws or,descent by escheat,elective share,share by the entireties,judicial election,2,PREP-AL-3.12,Dower and curtesy laws have been largely supplanted by community property laws and elective share laws
Which of the following rights is conveyed with a leasehold estate?,The right to exclude everyone from the premises,The right to encumber the fee interest,The right to sell the premises,The right to possess and use the premises,4,PREP-AL-3.13,Leasehold tenants are entitled to possess and use the leased premises during the lease term in the manner prescribed in the lease
An estate from period-to-period will continue as long as,"the tenant makes, and landlord accepts, regular rent payments",the term specified in the lease,the period is less than a year,the landlord has not given notice of termination,1,PREP-AL-3.14,"In an estate from period-to-period, also called a periodic tenancy, the tenancy period automatically renews as long as the tenant pays rent in a timely manner and the landlord accepts it. At the end of a tenancy period, if the landlord accepts another regular payment of rent, the leasehold is considered to be renewed for another period. A conveyance of leased property does not cancel a leasehold interest"
An estate at will,cannot be terminated,is terminated only if so stated in the lessee's last will and testament,terminates on the death of lessor or lessee,terminates on the date specified in the lease agreement,3,PREP-AL-3.15,"The estate at will, also called a tenancy at will, has no definite expiration date and hence no ""renewal"" cycle. The landlord and tenant agree that the tenancy will have no specified termination date, provided rent is paid on time and other lease conditions are met. For example, a son leases a house to his father and mother ""forever,"" or until they want to move. The estate at will is terminated by proper notice, or by the death of either party"
"If a tenant occupies a leased property without the consent of the landlord after a lease expires, the type of estate that results is called",an estate at sufferance,a holdover estate,an adverse leasehold,a hostile leasehold,1,PREP-AL-3.16,"In an estate at sufferance, a tenant occupies the premises without consent of the landlord or other legal agreement with the landlord. Usually such an estate involves a tenant who fails to vacate at the expiration of the lease, continuing occupancy without any right to do so"
Which of the following is true of a tenancy in common?,The co-owners must be married,The tenants share an indivisible interest,The tenants must acquire their interests at the same time,The tenants own equal shares of the estate,2,PREP-AL-4.1,The tenants share an indivisible interest of the common elements
A tenant in common can,"sell, encumber or transfer his or her interest to an outside party without the consent of the other tenants in common",use his or her interest in the estate to encumber the entire estate,"sell, encumber or transfer his or her interest only to the other tenants in common","sell, encumber or transfer his or her interest only with the consent of all the other tenants in common",1,PREP-AL-4.2,"All tenants in common have distinct and separable ownership of their respective interests. Co-tenants may sell, encumber, or transfer their interests without obstruction or consent from the other owners"
"When a tenant in common dies, what happens to the tenant's interest in the estate?",It is divided equally among the surviving tenants in common,The surviving tenants must buy the interest from the deceased tenant's heirs or sell their interests to the heirs,It becomes a joint tenancy,It passes by probate to the deceased tenant's heirs,4,PREP-AL-4.3,A deceased co-tenant's estate passes by probate to the decedent's heirs and devisees rather than to the other tenants in common. Any number of heirs can share in the ownership of the willed tenancy
Which of the following is true of a joint tenancy?,The tenants can determine the size of the share owned by each tenant,The size of the tenant's shares is determined by the amount of equity each has invested in the property,The tenants have an equal and indivisible ownership interest,"There can be no more than two co-owners, and each has a fifty percent interest",3,PREP-AL-4.4,"In a joint tenancy, two or more persons collectively own a property as if they were a single person. Rights and interests are indivisible and equal: each has a shared interest in the whole property which cannot be divided up. Joint tenants may only convey their interests to outside parties as tenant-in-common interests. One can not convey a joint tenant interest"
"In contrast to a tenancy in common, in a joint tenancy",there is a single title to the property,there are as many titles to the property as there are co-owners,title is held by a corporate entity,co-owners who are married hold separate titles,1,PREP-AL-4.5,"Whereas tenants in common hold separate title to their individual interests, joint tenants together hold a single title to the property. This is referred to as unity of ownership"
"If a joint tenant sells his or her interest to an outside party,",the new owner becomes a joint tenant,the new owner is a tenant in common,the joint tenancy terminates and all owners become tenants in common,the joint tenancy terminates and the owners must create a new joint tenancy to include the new owner,2,PREP-AL-4.6,"A joint tenant may transfer his or her interest in the property to an outside party, but only as a tenancy in common interest. Whoever acquires the interest co-owns the property as a tenant in common with the other joint tenants"
"When a joint tenant dies, what happens to the tenant's interest in the estate?","It passes to the decedent's heirs, who become joint tenants",It passes as a tenancy in common to the decedent's heirs,The joint tenancy terminates and becomes a tenancy in common with the decedent's heirs and the surviving tenants as co-owners,It passes to the surviving joint tenants,4,PREP-AL-4.7,"n most states, joint tenants enjoy rights of survivorship: if a joint tenant dies, all interests and rights pass to the surviving joint tenants free from any claims of creditors or heirs. When only one joint tenant survives, the survivor's interest becomes an estate in severalty, and the joint tenancy is terminated"
The most common form of co-ownership when the owners are not married is,tenancy in common,joint tenancy,tenancy by the entireties,tenancy in partnership,1,PREP-AL-4.8,"The tenancy in common, also known as the estate in common, is the most common form of co-ownership when the owners are not married"
"If a co-owner in a joint tenancy or tenancy in common wants to dispose of his or her interest against the wishes of the other co-owners, the co-owner can",sue in court for a termination of the tenancy and partition of the property,deed the property to himself or herself as a tenancy in severalty,create a trust with himself or herself as sole beneficiary,file a foreclosure suit to force the other owners to sell their interests,1,PREP-AL-4.9,"A partition suit is a legal avenue for an owner who wants to dispose of his or her interest against the wishes of other co-owners. The suit petitions the court to divide, or partition, the property physically, according to the owner's respective rights and interests. If this is not reasonably feasible, the court may order the property sold, whereupon the interests are liquidated and distributed proportionately"
Two individuals can own a house as tenants by the entireties if,they so elect at the time of acquiring title,they are blood relatives,they are married,they incorporate,3,PREP-AL-4.10,Tenancy by the entireties is a form of ownership traditionally reserved for husband and wife
One of the benefits offered by ownership in a tenancy by the entireties is,the estate is subject to foreclosure only for jointly incurred debts,the estate may be terminated only by mutual agreement,the estate is not subject to foreclosure,a co-owner may transfer his or her fractional interest without the consent of other co-owners,1,PREP-AL-4.11,No foreclosure for individual debts. The estate is subject to foreclosure only for jointly incurred debts
"When an estate is held in a trust, who holds legal title?",The beneficiary,The trustor,The trustee,The grantor,3,PREP-AL-4.12,"In an estate in trust, a fee owner-- the grantor or trustor-- transfers legal title to a fiduciary-- the trustee-- who holds and manages the estate for the benefit of another party, the beneficiary"
"When real property is held in a land trust, who controls the property?",The trustor,The trustee,The beneficiary,The property manager appointed by the trustee,3,PREP-AL-4.13,Beneficiary controls property - this includes occupancy and control of rents and sale proceeds
A condominium owner can,sell or mortgage the condominium unit without hindrance from individual owners of neighboring units,sell the interest in the physical unit separately from the interest in the common elements,exclude non-owners from the unit owner's pro rata portion of the common elements,exclusively possess and use those portions of the common areas structurally or functionally necessary for the operation of the unit,1,PREP-AL-4.14,"Condominium units can be individually sold, mortgaged, or otherwise encumbered without interference from other unit owners"
A condominium owner's assessments for maintenance and operation are based on,the unit's pro rata share of floor space,the unit's pro rata share of the property value as defined in the declaration,the number of shares the owner purchased in the condominium association,the assessed value of the condominium unit,2,PREP-AL-4.15,Condominium units are individually assessed and taxed. The assessment pertains to the value of the exclusive interest in the apartment as well as the unit's pro rata share of common elements
The owner of a cooperative owns,shares in a corporation or association and a proprietary lease in a physical unit,a fee simple interest in a physical unit plus a tenancy in common in common elements,a tenancy in common in a physical unit and the common areas,a ground lease in the physical unit's pro rata share of land and a proprietary lease in the unit,1,PREP-AL-4.16,"In a cooperative, or co-op, one owns shares in a non-profit corporation or cooperative association, which in turn acquires and owns an apartment building as its principal asset. Along with this stock, the shareholder acquires a proprietary lease to occupy one of the apartment units"
"In a cooperative, real property is owned only by",the individual unit owners,the individual unit owners and the cooperative association,the cooperative developer,the corporate entity of the cooperative association,4,PREP-AL-4.17,"The corporate entity of the cooperative association is the only party in the cooperative with a real property interest. The association's interest is an undivided interest in the entire property. There is no ownership interest in individual units, as with a condominium"
"In a time-share freehold, owners acquire",undivided interests as tenants in common,a tenancy from period-to-period for a portion of a year,a pro rata share of a leased fee,a tenancy in severalty for a portion of a year,1,PREP-AL-4.18,"In a freehold time-share, or interval ownership estate, tenants in common own undivided interests in the property. Expense prorations and rules governing interval usage are established by separate agreement when the estate is acquired"
An encumbrance is most broadly defined as,another's right to use a property without the permission of the property owner,another's right to claim the sale proceeds of a property that has been used as collateral for a loan,another's interest in a real property that limits the interests of the freehold property owner,another's right to control how the freehold owner of a real property uses the property,3,PREP-AL-5.1,"An encumbrance is an interest in and right to real property that limits the legal owner's freehold interest. In effect, an encumbrance is another's right to use or take possession of a legal owner's property, or to prevent the legal owner from enjoying the full bundle of rights in the estate"
Which of the following is true of easements in general?,They involve the property that contains the easement and a non-owning party,"They apply to a whole property, not to any specific portion of the property",They cannot be assigned or transferred,"They may require a specific use, but cannot prohibit one",1,PREP-AL-5.2,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate. The property containing the physical easement itself is the servient tenement, since it must serve the easement use."
In what kind of easement is there a dominant tenement and a servient tenement?,An easement in gross,A commercial easement,A personal easement,An easement appurtenant,4,PREP-AL-5.3,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate. The property containing the physical easement itself is the servient tenement, since it must serve the easement use"
"If the owner of property A has a court-ordered easement to drive across property B because it is the only way for A to have access to a public road, the easement is a(n)",easement by prescription,personal easement,easement by necessity,easement in gross,3,PREP-AL-5.4,"An easement by necessity is an easement appurtenant granted by a court of law to a property owner because of a circumstance of necessity, most commonly the need for access to a property. Since property cannot be legally landlocked, or without legal access to a public thoroughfare, a court will grant an owner of a landlocked property an easement by necessity over an adjoining property that has access to a thoroughfare"
"Property A and property B share a common wall along the property boundary.  To ensure that neither owner destroys the wall, the owners of A and B should create",an easement by necessity,a perpetual encroachment,a license,a party wall easement,4,PREP-AL-5.5,"Party wall agreements generally provide for severalty ownership of half of the wall by each owner, or at least some fraction of the width of the wall. In addition, the agreement grants a negative easement appurtenant to each owner in the other's wall. This is to prevent unlimited use of the wall, in particular a destructive use that would jeopardize the adjacent property owner's building. The agreement also establishes responsibilities and obligations for maintenance and repair of the wall"
An encroachment is,an easement that has not been recorded on the title of the burdened property,an unauthorized physical intrusion of one property into another,a right granted by a property owner to the owner of an adjoining property to build a structure that protrudes across the property boundary,a structure that does not comply with a zoning ordinance,2,PREP-AL-5.6,"An encroachment is the unauthorized, physical intrusion of one owner's real property into that of another. Examples of encroachments are: a tree limb extending into the neighbor's property, violating his or her airspace; a driveway extending beyond the lot line onto the neighbor's land; and a fence built beyond the property line"
A court might grant an easement by prescription if,"a municipality needs to dig a trench across an owner's property to install a sewer line to a neighboring property, and the owner refuses permission",a property owner sells the front half of a lot and wants to continue using the driveway to reach the rear of the lot,an intruder has been using an owner's property for a certain period with the owner's knowledge but without permission,a property owner wants to prevent the owner of an adjoining property from building a second-story addition that blocks the sunlight to his rose garden,3,PREP-AL-5.7,"If someone uses another's property as an easement without permission for a statutory period of time and under certain conditions, a court order may give the user the easement right by prescription, regardless of the owner's desires. For a prescriptive easement order to be granted, the following circumstances must be true: the use has been occurring without permission or license; the owner knows or is presumed to have known of the use; and the use has been generally uninterrupted over the statutory prescriptive period"
Deed restrictions generally concern,the form of ownership in which a property may be held,how long a property must be owned before it can be legally transferred,what groups of people are legally excluded from future ownership of a property,how a property may be used and what structures may be built on it,4,PREP-AL-5.8,"Deed restrictions typically apply to:  •the land use  •the size and type of structures that may be placed on the property  •minimum costs of structures   •engineering, architectural, and aesthetic standards, such as setbacks or specific standards of construction"
One difference between a condition and a covenant is that,breach of a covenant leads to forfeiture of ownership,a covenant can be enforced in court,a condition can be created at any time,a condition can be created only when there is a transfer of ownership,4,PREP-AL-5.9,"A condition can only be created within a transfer of ownership. If a condition is later violated, a suit can force the owner to forfeit ownership to the previous owner. A covenant can be created by mutual agreement. If a covenant is breached, an injunction can force compliance or payment of compensatory damages"
The lienee in a lien is the,party who initiates the lien,owner of the property that is subject to the lien,party who has a claim against the owner of the property subject to the lien,property that is given as security for a debt,2,PREP-AL-5.10,"The creditor who places a lien on a property is called the lienor, and the debtor who owns the property is the lienee"
A lien is a,debt incurred by a property owner,promissory note granted by a property owner as security for a debt,creditor's claim against property as security for a debt of the property owner,document that creates an easement,3,PREP-AL-5.11,"A lien is a creditor's claim against personal or real property as security for a debt of the property owner. If the owner defaults, the lien gives the creditor the right to force the sale of the property to satisfy the debt"
What kind of interest does a lienor usually have in the liened property?,A possessory interest,Legal ownership of a dominant tenement,A legal interest in a pro rata share of the property,"An equitable interest, except a mortgage lienor in a title-theory state",4,PREP-AL-5.12,"A lienor generally has an equitable interest in the property, but not legal ownership. The exception is a mortgage lien on a property in a title-theory state. In these states, the mortgage transaction conveys legal title to the lender, who holds it until the mortgage obligations are satisfied. During the mortgage loan period, the borrower has equitable title to the property"
How is a lien terminated?,Payment of the debt that is the subject of the lien and recording of the satisfaction,Transfer of the property that has the lien,Recording of another lien that is superior,Death of the lienor or lienee,1,PREP-AL-5.13,"A lien terminates on payment of the debt and recording of documents. Payment of the debt and recording of the appropriate satisfaction documents ordinarily terminate a lien. If a default occurs, a suit for judgment or foreclosure enforces the lien. These actions force the sale of the property"
A general lien is a lien,imposed by statutory law,imposed by court order,placed against an individual rather than against any particular property,placed against any and all property owned by an individual,4,PREP-AL-5.14,A general lien is one placed against any and all real and personal property owned by a particular debtor. An example is an inheritance tax lien placed against all property owned by the heir
"A real estate tax lien, a federal income tax lien, a judgment lien, and a mortgage lien are recorded against a property. Which lien will be paid first when the property is sold?",Real estate tax lien,Federal income tax lien,Judgment lien,Mortgage lien,1,PREP-AL-5.15,"The category of superior, or senior, liens ranks above the category of inferior, or junior, liens, meaning that superior liens receive first payment from the proceeds of a foreclosure. The superior category includes liens for real estate tax, special assessments, and inheritance tax. Other liens, including income tax liens, mortgage liens and judgment liens, are inferior"
A lien holder can change the priority of a junior lien by agreeing to,change the date of recording,lower the amount of the claim,vacate the lien,subordinate the lien,4,PREP-AL-5.16,"A lienor can change the priority of a junior lien by voluntarily agreeing to subordinate, or lower, the lien's position in the hierarchy"
Which of the following tax liens is a junior lien?,Special assessment tax lien,Inheritance tax lien,Income tax lien,Ad valorem tax lien,3,PREP-AL-5.17,Superior liens in rank order:  1. Real estate tax liens   2. Special assessment liens   3. Federal estate tax liens   4. State inheritance tax liens.  Junior liens: priority by date of recording:  •Federal income tax liens  •State corporate income tax liens  •State intangible tax liens  •Judgment liens  •Mortgage liens  •Vendor's liens  •Mechanic's liens (priority by date work was performed)
Foreclosure is,a court-ordered acceleration of loan payments,the final step in a bankruptcy filing,a proceeding to enforce a lien by forcing sale or transfer of a secured property,a proceeding to take equitable title to a property that was liened as security for a mortgage loan,3,PREP-AL-5.18,"All liens can be enforced by the sale or other transfer of title of the secured property, whether by court action, operation of law, or through powers granted in the original loan agreement. The enforcement proceedings are referred to as foreclosure"
"A property is secured by a mortgage that does not contain a ""power of sale"" clause.  To foreclose, the lien holder will have to",file a deficiency suit,file a foreclosure suit,obtain a deed in lieu of foreclosure,obtain a writ to extinguish the lien,2,PREP-AL-5.19,"Judicial foreclosure occurs in states that use a two-party mortgage document (borrower and lender) that does not contain a ""power of sale"" provision. Lacking this provision, a lender must file a foreclosure suit and undertake a court proceeding to enforce the lien"
"In a strict foreclosure,",a lender takes title to the liened property directly,a lender receives the proceeds from the forced sale of the liened property,the defaulting owner does not have the opportunity to prevent the foreclosure by paying the amounts owed,a foreclosure suit is optional,1,PREP-AL-5.20,"A lender takes title to the liened property directly. If a borrower has failed to meet loan obligations in spite of proper notice and applicable grace periods, the lender can accelerate the loan, or declare that the loan balance and all other sums due on the loan are payable immediately"
