Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
"The major sources of real estate law are legislation at federal, state and local level, and",court decisions,professional real estate associations,real estate commissions,local practices,1,PREP-AL-STD-2.18,Regulation takes the form of federal and state laws and regulations; county and local ordinances and codes; and court decisions in the judicial system
What is the primary thrust of federal involvement in real estate law?,Taxation,Licensing,Broad regulation of usage,Zoning,3,PREP-AL-STD-2.19,"In regulating real property rights, the federal government is primarily concerned with broad standards of real property usage, natural disaster, land description, and discrimination"
Which level of government controls zoning laws?,State,Taxing authorities,Federal,County and local,4,PREP-AL-STD-2.20,County and local governments have the power to zone land
A grocer temporarily installs special fruit and vegetable coolers in a leased grocery store in order to prevent spoilage. The coolers would be considered which of the following?,Trade fixtures that are real property,Trade fixtures that are personal property,Permanent fixtures that are real property,Permanent fixtures that are personal property,2,PREP-AL-STD-2.21,"Trade fixtures are items of a tenant's personal property that the tenant has temporarily affixed to a landlord's real property in order to conduct business. Trade fixtures may be detached and removed before or upon surrender of the leased premises. Should the tenant fail to remove a trade fixture, it may become the property of the landlord through accession. Thereafter, the fixture is considered real property"
"Under the doctrine of littoral rights, an owner claims ownership of all of the land underlying a lake where there are three other abutting property owners.  Which of the following is true?","The owner's claim is invalid, because the state owns the underlying land","The owner's claim is invalid, because the underlying land is shared equally with the other owners","The owner's claim is invalid, because he may only own underlying land to the middle of the lake","The owner's claim is valid, because the lake is navigable",1,PREP-AL-STD-2.22,"The owner's claim is invalid, because the state owns the underlying land"
An interest in real estate is best defined as ownership of,the full bundle of rights to real property,an estate,one or more of the bundle of rights to real property,the right to possession and use of real property,3,PREP-AL-STD-3.1,"An interest in real estate is ownership of any combination of the bundle of sticks, including the rights to possess, use, transfer, encumber and exclude"
Encumbrances and police powers are,interests that do not include possession,limited forms of an estate,unrelated to interests,types of public interests,1,PREP-AL-STD-3.2,An encumbrance enables a non-owning party to restrict the owner's bundle of rights. Government entities also have nonpossessory interests in real estate which act to control land use for the public good within the entity's jurisdiction. The prime example of public interest is police power
What distinguishes a freehold estate from a leasehold estate?,A freehold includes the right to dispose or use,A leasehold endures only for a specific period of time,A freehold cannot be defeasible,A leasehold is subject to government restrictions,2,PREP-AL-STD-3.3,"Freehold estates are ownership estates, and their duration cannot be determined. A leasehold endures only for a specific period of time"
The highest form of ownership interest one can acquire in real estate is the,dower and curtesy,conventional life estate,defeasible fee simple estate,absolute fee simple estate,4,PREP-AL-STD-3.4,"The fee simple freehold estate is the highest form of ownership interest one can acquire in real estate. It includes the complete bundle of rights, and the tenancy is unlimited, with certain exceptions. The fee simple absolute estate is a perpetual estate that is not conditioned by stipulated or restricted uses"
The distinguishing feature of a defeasible fee simple estate is that,it can be passed on to heirs,it has no restrictions on use,the estate may revert to a grantor or heirs if the prescribed use changes,it is of unlimited duration,3,PREP-AL-STD-3.5,"The defeasible fee estate is perpetual, provided the usage conforms to stated conditions. Essential characteristics are: the property must be used for a certain purpose or under certain conditions; and, if the use changes or if prohibited conditions are present, the estate reverts to the previous grantor of the estate"
"Upon the death of the owner, a life estate passes to",the original owner or other named person,the owner's heirs,the state,the owner's spouse,1,PREP-AL-STD-3.6,"Upon the death of the owner or other named individual, the estate passes to the original owner or another named party"
How is a conventional life estate created?,It happens automatically when title transfers unless a fee simple is specifically claimed,A fee simple owner grants the life estate to a life tenant,It is created by judicial action,It is created by a statutory period of adverse possession,2,PREP-AL-STD-3.7,"A conventional life estate is created by grant from a fee simple property owner to the grantee, the life tenant"
What distinguishes a pur autre vie life estate from an ordinary life estate?,The pur autre vie estate endures only for the lifetime of the grantor,The pur autre vie estate endures only for the lifetime of the grantee,The pur autre vie estate endures only for the lifetime of a person other than the grantee,The pur autre vie estate cannot revert to the grantor,3,PREP-AL-STD-3.8,"A pur autre vie life estate endures over the lifetime of a third person, after which the property passes from the tenant holder to the original grantor (reversion) or a third party (remainderman)"
Which of the following life estates is created by someone other than the owner?,Conventional life estate,Ordinary life estate,Legal life estate,Community property life estate,3,PREP-AL-STD-3.9,A legal life estate is created by state law as opposed to being created by a property owner's agreement
Which of the following is true of a homestead?,A homestead interest cannot be conveyed by one spouse,A homestead interest cannot be passed to the children of the head of household,A homestead interest is a form of conventional life estate,A homestead is a primary or secondary residence occupied by a family,1,PREP-AL-STD-3.10,A homestead is one's principal residence. Homestead laws protect family members against losing their homes to general creditors attempting to collect on debts. Homestead laws generally provide that: the homestead interest cannot be conveyed by one spouse; both spouses must sign the deed conveying homestead property
Dower refers to,joint tenancy of husband and wife,a wife's life estate interest in her husband's property,a wife's homestead interest,a child's life estate interest in his or her parents' homestead,2,PREP-AL-STD-3.11,"Dower refers to a wife's life estate interest in the husband's property. When the husband dies, the wife can make a claim to portions of the decedent's property. Curtesy is the identical right enjoyed by the husband in a deceased wife's property. Property acquired under dower laws is owned by the surviving spouse for the duration of his or her lifetime"
Which of the following is an illustration of the legal concept of elective share?,A surviving spouse places a lien on a debtor's property,A widow who was excluded from a will makes a claim to a portion of the couple's principal residence,A spouse who loses her home because of her husband's gambling debt sues in court for exemption from the debt,A widower whose spouse died without a will sues to change the provisions of the will,2,PREP-AL-STD-3.12,Elective share is a state-level statute enabling a surviving spouse to make a minimum claim to the deceased spouse's real and personal property in place of the provisions for such property in the decedent's will
"A one-year lease on a house has expired, but the tenant continues sending monthly rent checks to the owner, and the owner accepts them. What kind of leasehold estate exists?",Estate for years,Estate from period to period,Estate at will,Estate at sufferance,2,PREP-AL-STD-3.13,"In an estate from period-to-period, also called a periodic tenancy, the tenancy period automatically renews for an indefinite period of time, subject to timely payment of rent. At the end of a tenancy period, if the landlord accepts another regular payment of rent, the leasehold is considered to be renewed for another period"
"When a single individual or entity owns a fee or life estate in a real property, the type of ownership is",tenancy in severalty,tenancy by the entireties,absolute fee simple,legal fee simple,1,PREP-AL-STD-4.1,"If a single party owns the fee or life estate, the ownership is a tenancy in severalty"
"Three people have identical rights but unequal shares in a property, share an indivisible interest, and may sell or transfer their interest without consent of the others. This type of ownership is",joint tenancy,equal ownership,tenancy in common,estate in severalty,3,PREP-AL-STD-4.2,"Tenancy in common, co-tenants enjoy an individually owned, undivided interest; any ownership share possible; no survivorship"
"The ""four unities"" required to create a joint tenancy include which of the following conditions?",Parties must acquire respective interests at the same time,Parties must be legally married at the time of acquiring interest,Parties must be family members,Parties must have joint financial resources,1,PREP-AL-STD-4.3,"All owners must acquire the property at the same time, use the same deed, acquire equal interests, and share in equal rights of possession"
"Unlike tenants in common, joint tenants",own distinct portions of the physical property,cannot will their interest to a party outside the tenancy,may own unequal shares of the property,cannot sell their interest to outside parties,2,PREP-AL-STD-4.4,"The survivorship feature of joint tenancy presents an advantage to tenancy in common, in that interests pass without probate proceedings. On the other hand, joint tenants relinquish any ability to will their interest to parties outside of the tenancy"
"In a community property state, a basic distinction is made between",property acquired together and property acquired separately over the duration of the marriage,property owned privately versus property owned by the state,property acquired during a marriage and property already owned by each party at the time of marriage,property acquired during the marriage and property acquired after the marriage,3,PREP-AL-STD-4.5,Community property law distinguishes real and personal property into categories of separate and community property. Separate property belongs to one spouse; community property belongs to both spouses equally
Who are the essential parties involved in an estate in trust?,"Owner, trustor and lawyer","Owner, trustor and trustee","Trustee, title company, and beneficiary","Trustor, trustee and beneficiary",4,PREP-AL-STD-4.6,"In an estate in trust, a fee owner-- the grantor or trustor-- transfers legal title to a fiduciary-- the trustee-- who holds and manages the estate for the benefit of another party, the beneficiary"
The distinguishing features of a condominium estate are,ownership of a share in an association that owns one's apartment,tenancy in common interest in airspace and common areas of the property,fee simple ownership of the airspace in a unit and an undivided share of the entire property's common areas,fee simple ownership of a pro rata share of the entire property,3,PREP-AL-STD-4.7,"Multi-unit residential or commercial properties. It combines ownership of a fee simple interest in the airspace within a unit with ownership of an undivided share, as a tenant in common"
Who owns the property in a time-share estate?,Ownership is shared by the developer and the broker,The property is owned by tenants in common or by a freehold owner who leases on a time-share basis,A real estate investment trust holds a fee simple estate,A general partner holds a fee simple interest and interval estates are owned by limited partners,2,PREP-AL-STD-4.8,"Timeshare ownership is a fee or leasehold interest in a property whose owners or tenants agree to use the property on a periodic, non-overlapping basis"
Which of the following is true of a cooperative?,A cooperative may hold an owner liable for the unpaid operating expenses of other owners,The owners have a fee simple interest in the airspace of their respective apartments,Owners may retain their apartments even if they sell their stock in the cooperative,The proprietary lease is guaranteed to have a fixed rate of rent over the life of the lease term,1,PREP-AL-STD-4.9,"Since the corporation owns an undivided interest in the cooperative property, debts and financial obligations apply to the property as a whole, not to individual units as in a condominium"
One difference between a cooperative estate and a condominium estate is that,"a default by a coop owner may cause a foreclosure on the entire property instead of just a single unit, as with a condominium",the condominium owner must pay expenses as well as rent,the coop owner owns stock and a freehold real estate interest whereas the condominium owner simply owns real estate,the condominium owner owns the common elements and the airspace whereas the coop owner only owns the apartment,1,PREP-AL-STD-4.10,"Should the cooperative corporation fail to meet its obligations, creditors and mortgagees may foreclose on the entire property. A completed foreclosure would terminate the shareholders' proprietary lease, and bankrupt the owning corporation. Compare this situation with that of a condominium, in which an individual's failure to pay endangers only that individual's unit, not the entire property"
A unique feature of a land trust is that,the trustee controls both the trustor and the beneficiary,the trustee takes ownership of both land and improvements,the identity of the beneficiary may not be identified,the properties in the trust are probated in the states where the properties are located,3,PREP-AL-STD-4.11,Beneficiary identity not on record - public records do not identify the beneficiary; the beneficiary owns and enjoys the property in secrecy
Easements and encroachments are types of,lien,deed restriction,encumbrance,appurtenance,3,PREP-AL-STD-5.1,"General types of encumbrance include easements, encroachments, licenses, and deed restrictions"
An affirmative easement gives the benefited party,the right to possess a defined portion of another's real property,the right to prevent the owner of a real property from using it in a defined way,the right to a defined use of a portion of another's real property,the right to receive a portion of any income generated by another's real property,3,PREP-AL-STD-5.2,"An easement may be affirmative, allowing a use, such as a right-of-way"
"There are two adjoining properties. An easement allows property A to use the access road that belongs to property B. In this situation, property A is said to be which of the following in relation to property B?",Subservient estate,Servient estate,Senior tenant,Dominant tenement,4,PREP-AL-STD-5.3,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate"
Which of the following describes a situation in which an easement might be created against the wishes of the property owner?,The property has been continuously used as an easement with the knowledge but without the permission of the owner for a period of time,"The owner of an adjoining property asks the property owner for an easement, is refused, and then uses the property anyway without the knowledge of the owner",The owner of an adjoining property decides he needs to widen his driveway by sharing his neighbor's driveway and sues in court to create an easement by necessity,The owner of an adjoining property grants an easement to a third party that includes an easement on the first property,1,PREP-AL-STD-5.4,"Easement by prescription. If someone uses another's property as an easement without permission for a statutory period of time and under certain conditions, a court order may give the user the easement right by prescription, regardless of the owner's desires"
What is the primary danger of allowing an encroachment?,An encroachment automatically grants the benefiting party an easement,The encroached party may be liable for additional real estate taxes to cover the area being encroached upon by the neighboring property,"Over time, the encroachment may become an easement by prescription that damages the property's market value",An encroachment creates a lien,3,PREP-AL-STD-5.5,"Encroachments cause infringements on the rights of the trespassed owner, and may diminish the property's value over time, particularly when the property is to be sold"
A property owner who is selling her land wants to control how it is used in the future. She might accomplish her aim by means of,an injunction,a deed restriction,an easement,a land trust,2,PREP-AL-STD-5.6,A private party who wants to control the quality and standards of a property can establish a deed restriction. Deed restrictions take precedence over zoning ordinances if they are more restrictive
What distinguishes a lien from other types of encumbrance?,It involves a monetary claim against the value of a property,It lowers the value of a property,It is created voluntarily by the property owner,It attaches to the property rather than to the owner of the property,1,PREP-AL-STD-5.7,"A lien is a creditor's claim against personal or real property as security for a debt of the property owner. If the owner defaults, the lien gives the creditor the right to force the sale of the property to satisfy the debt. Liens do not necessarily alter the property value. Liens can be involuntary as well as voluntary. Finally, liens attach to the property, but so do other encumbrances"
"A certain property has the following liens recorded against it: a mortgage lien dating from three years ago; a mechanic's lien dating from two years ago; a real estate tax lien for the current year; and a second mortgage lien dating from the current year. In case of a foreclosure, which of these liens will be paid first?",First mortgage lien,Mechanic's lien,Real estate tax lien,Second mortgage lien,3,PREP-AL-STD-5.8,"Superior and inferior lien. The category of superior, or senior, liens ranks above the category of inferior, or junior, liens, meaning that superior liens receive first payment from the proceeds of a foreclosure. The superior category includes liens for real estate tax, special assessments, and inheritance tax. Other liens, including income tax liens, are inferior"
The lien priority of junior liens can be changed by a lienor's agreement to,forgive portions of the debt,assign the note,foreclose on the note,subordinate,4,PREP-AL-STD-5.9,"A lienor can change the priority of a junior lien by voluntarily agreeing to subordinate, or lower, the lien's position in the hierarchy"
"Among junior liens, the order of priority is generally established according to",the date of recordation,the amount,the order of disbursement,special agreement among lienees,1,PREP-AL-STD-5.10,"Among junior liens, date of recording determines priority. The rule is: the earlier the recording date of the lien, the higher its priority"
"What is meant by a ""lien-theory"" state?",A state in which liens are given priority over other encumbrances,A state in which a mortgagor retains title to the property when a mortgage lien is created,A state in which the holder of a mortgage lien receives title to the mortgaged property until the debt is satisfied,A state in which liens exist in theory but not in practice,2,PREP-AL-STD-5.11,"In lien-theory states, mortgages and trust deeds secure loans made on real property. In these states, the lender records a lien as soon as possible after disbursing the funds in order to establish lien priority"
A homeowner has hired a contractor to build a room addition. The work has been completed and the contractor has been paid for all work and materials but fails to pay the lumber yard for a load of lumber. What potential problem may the home owner experience?,The contractor may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The lumber yard may place a vendor's lien against the contractor and the homeowner for the amount of the lumber,The lumber yard may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The homeowner has no liability because the contractor was paid for the lumber,3,PREP-AL-STD-5.12,Any individual who performs approved work may place a mechanic's lien on the property to the extent of the direct costs incurred. Note that unpaid subcontractors may record mechanic's liens whether the general contractor has been paid or not. Thus it is possible for an owner to have to double-pay a bill in order to eliminate the mechanic's lien if the general contractor neglects to pay the subcontractors
The process of enforcing a lien by forcing sale of the lienee's property is called,execution,attachment,foreclosure,subordination,3,PREP-AL-STD-5.13,"All liens can be enforced by the sale or other transfer of title of the secured property, whether by court action, operation of law, or through powers granted in the original loan agreement. The enforcement proceedings are referred to as foreclosure"
An important difference between a judicial foreclosure and a non-judicial foreclosure is,there is no right to redeem the property in a non-judicial foreclosure,a judicial foreclosure forces a sale of the property,a non-judicial foreclosure ensures that all liens are paid in order of priority,the lienor receives title directly in a non-judicial foreclosure,1,PREP-AL-STD-5.14,There is no redemption right in non-judicial foreclosure
A defaulting borrower may avoid foreclosure by giving the mortgagee,a promissory note,a deed in lieu of foreclosure,a redemption notice,a lis pendens,2,PREP-AL-STD-5.15,"A defaulting borrower who faces foreclosure may avoid court actions and costs by voluntarily deeding the property to the mortgagee. This is accomplished with a deed in lieu of foreclosure, which transfers legal title to the lienholder"
A property survey reveals that a new driveway extends one foot onto a neighbor's property. This is an example of,a easement appurtenant,an encroachment,an easement by prescription,a party wall easement,2,PREP-AL-STD-5.16,"An encroachment is the unauthorized, physical intrusion of one owner's real property into that of another"
"A property owner has an easement appurtenant on her property. When the property is sold to another party, the easement",terminates,transfers with the property,transfers with the owner to a new property,becomes a lien on the property,2,PREP-AL-STD-5.17,"The term appurtenant means ""attaching to."" An easement appurtenant attaches to the estate and transfers with it unless specifically stated otherwise in the transaction documents"
A brick fence straddles the property line of two neighbors. The neighbors agree not to damage it in any way. This is an example of,a party wall,an encroachment,a trade fixture,a deed restriction,1,PREP-AL-STD-5.18,"A party wall is a common wall shared by two separate structures along a property boundary. Party wall agreements generally provide for severalty ownership of half of the wall by each owner, or at least some fraction of the width of the wall. In addition, the agreement grants a negative easement appurtenant to each owner in the other's wall. This is to prevent unlimited use of the wall, in particular a destructive use that would jeopardize the adjacent property owner's building. The agreement also establishes responsibilities and obligations for maintenance and repair of the wall"
"A property owner allows Betty Luanne to cross his property as a shortcut to her kindergarten school bus. One day the property owner dies. What right was Betty given, and what happens to it in the future?","A personal easement in gross, which continues after the owner's death","An easement by prescription, which continues after the owner's death","A license, which continues after the owner's death","A license, which terminates at the owner's death",4,PREP-AL-STD-5.19,"A license, much like a personal easement in gross, is a personal right that a property owner grants to another to use the property for a specific purpose. Licenses are not transferrable and do not attach to the land. They cease on the death of either party, or on the sale of the property. Unlike a personal easement in gross, a license is revocable at any time. Licenses are often granted informally, as a verbal statement of permission"
"A court renders a judgment which authorizes a lien to be placed against the defendant's house, car, and personal belongings. This is an example of a",specific judgment lien,general judgment lien,voluntary judgment lien,superior judgment lien,2,PREP-AL-STD-5.20,A general lien is one placed against any and all real and personal property owned by a particular debtor. An example is an inheritance tax lien placed against all property owned by the heir. A judgment lien attaches to real and personal property as a result of a money judgment issued by a court in favor of a creditor
What happens in a short sale?,The transaction is completed before the end of the contingency period.,Buyer and seller complete a transaction without the assistance of a licensed agent.,The proceeds of the sale do not cover the seller’s outstanding mortgage loan balance.,The seller agrees to accept less than the listing price.,3,PREP-AL-STD-5.21,"A short sale occurs when a property owner owes more than resale value and loan pay-off for a property and agrees to let the lender sell the property in exchange for release from the lien. The lender may or may not agree to accept the deficient price as satisfaction and may require the seller to pay the deficiency by way of a deficiency judgment. There may also be tax consequences for the seller. To avoid the deficiency, the seller must make sure that the agreements include a full release of the underlying debt and a statement that it was fully satisfied."
"Which of the following best describes the concept of ""legal title"" to real estate?""",Ownership of the bundle of rights to real estate,The right of a buyer or lender to obtain ownership under certain circumstances,Possession of a deed,Absolute proof of ownership of real estate,1,PREP-AL-STD-6.1,"Owning title to real property commonly connotes owning the complete bundle of rights that attach to the property, including the right to possession. More accurately, someone who possesses all ownership interests owns legal title to the property. Legal title is distinct from equitable title, which is the interest or right to obtain legal title to a property in accordance with a sale or mortgage contract between the legal owner and a buyer or creditor. During the contractual period of time when ownership of legal title is contingent upon the contract, the buyer or lender owns equitable title to the property"
"A person claims ownership of a parcel of real estate to a prospective buyer, stating that she has lived on the property for five years and nobody has ever bothered her. The claimant also shows the buyer a copy of the deed. The legal basis of this claim is referred to as",prescriptive notice,constructive notice,hostile notice,actual notice,4,PREP-AL-STD-6.2,"In proving real estate ownership, a person provides actual notice by producing direct evidence, such as by showing a valid will"
Constructive notice of ownership of a parcel of real estate is primarily demonstrated through,direct inspection to see who is in possession,title insurance,title records,a construction permit,3,PREP-AL-STD-6.3,"The foremost method of imparting constructive notice is by recordation of ownership documents in public records, specifically, title records"
An owner transfers title to a property to a buyer in exchange for a consideration. This is an example of,voluntary alienation,escheat,hypothecation,estoppel,1,PREP-AL-STD-6.4,Voluntary alienation is an unforced transfer of title by sale or gift from an owner to another party
"For a deed to convey title, it is necessary for the deed to be",on a standard form,certified by the grantor,accepted by the grantee,signed by the grantee,3,PREP-AL-STD-6.5,Execution of a valid deed in itself does not convey title. It is necessary for the deed to be delivered to and accepted by the grantee for title to pass
The only required clause in a deed of conveyance is one that,states restrictions and limitations to the estate being conveyed,states the parties and the type of estate being conveyed,states that the grantor has done nothing to impair title to the property being conveyed,"states the grantor's intention, names the parties, describes the property, and indicates a consideration",4,PREP-AL-STD-6.6,"Granting clause, or premises clause - the only required clause; contains the conveyance intentions; names the parties; describes the property; indicates nominal consideration"
The purpose of a covenant clause in a deed of conveyance is to,state the grantor's assurance or warrant to the grantee that a certain condition or fact concerning the property is true,state the grantee's promise to use the property in a prescribed manner,warrant that the grantor has never encumbered title,describe the consideration that the grantee promises to give in return for title,1,PREP-AL-STD-6.7,Covenant clauses present the grantor's assurances to the grantee
The type of statutory deed that contains the most complete protection for the grantee is a,guardian's deed,special warranty deed,general warranty deed,quitclaim deed,3,PREP-AL-STD-6.8,"The general warranty deed, or warranty deed for short, is the most commonly used deed. It contains the fullest possible assurances of good title and protection for the grantee"
"A person wishes to convey any and all interests in a property to another without making any assurances as to encumbrances, liens, or any other title defects on the property. This party would most likely use which of the following types of deed?",A sheriff's deed,A special warranty deed,A partition deed,A quitclaim deed,4,PREP-AL-STD-6.9,"A quitclaim deed. A quitclaim deed transfers real and potential interests in a property, whether an interest is known to exist or not.  The grantor makes no claim to any interest in the property being conveyed and offers no warrants to protect the grantee"
A one-time tax levied on a property for purposes of recording a transaction is called,an intangible sales tax,a documentary stamp tax,an ad valorem tax,a franchise tax,2,PREP-AL-STD-6.10,State law usually requires payment of a documentary stamp tax on a conveyance of real property
"If a person dies with no legal heirs or relations and has left no valid will, what happens to real property owned by that person?",It is taken by the state according to the process called escheat,It is reconveyed to the previous owner in the chain of title,It is taken by the title insurance company according to the process called involuntary alienation,It is conveyed to the highest bidder at a public auction,1,PREP-AL-STD-6.11,"It is taken by the state according to the process called escheat, or reverts, to the state or county after all claims and debts have been validated and settled"
"Just prior to passing away, a person tells two witnesses that she would like her estate to pass to her husband. One witness records the statement and signs his name. This is an example of",an enforceable holographic will,an unenforceable holographic will,an enforceable nuncupative will,an unenforceable nuncupative will,4,PREP-AL-STD-6.12,"An unenforceable nuncupative will, made orally, and written down by a witness; generally not valid for the transfer of real property"
"If a person having several heirs dies intestate, the property will",pass to heirs by the laws of descent and distribution,escheat to the state,pass to the surviving spouse through elective share,pass to the surviving heirs according to the provisions of the will,1,PREP-AL-STD-6.13,"If the decedent died without a valid will, the estate passes to lawful heirs according to the state's laws of descent and distribution, or succession"
A property owner can avert the danger of losing title by adverse possession by,recording proof of ownership in county title records,inspecting the property and evicting any trespassers found,claiming hostile and notorious possession,filing a claim of right with the county recorder,2,PREP-AL-STD-6.14,"An owner can avert the danger of involuntary alienation by adverse possession by periodically inspecting the property within statutory deadlines and evicting any trespassers found. The owner may also sue to quiet title, which would eliminate the threat of the adverse possessor's claim to legal title"
